City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,liman,48.9884,37.8023,21.87,77,88,4.57,UA,1691711405
158,horta,38.5333,-28.6333,21.12,86,63,3.58,PT,1691711406
159,san fernando,15.0286,120.6898,27.85,78,94,0.7,PH,1691711406
160,trairi,-3.2778,-39.2689,25.07,87,20,3.85,BR,1691711406
161,badger,64.8,-147.5333,22.3,77,75,1.54,US,1691711406
162,arno,60.1167,18.6333,13.77,90,100,4.08,SE,1691711406
163,port lincoln,-34.7333,135.8667,11.61,70,48,2.36,AU,1691711407
164,nurmes,63.5421,29.1397,13.74,86,15,2.99,FI,1691711407
165,minas de marcona,-15.2119,-75.1103,12.7,88,46,7.08,PE,1691711407
166,olinda,-8.0089,-34.8553,23.85,88,75,6.69,BR,1691711121
167,hammerfest,70.6634,23.6821,20.25,73,75,4.12,NO,1691711407
168,saint-philippe,-21.3585,55.7679,19.77,82,8,2.27,RE,1691711147
169,mount gambier,-37.8333,140.7667,10.96,87,100,3.35,AU,1691711150
170,miri,4.4148,114.0089,25.08,94,40,1.03,MY,1691711408
171,san tan valley,33.1911,-111.528,41.53,22,0,6.69,US,1691711254
172,fengxiang,47.5833,130.8333,17.61,90,100,4.28,CN,1691711408
173,ulsteinvik,62.3432,5.8487,13.2,88,100,1.34,NO,1691711408
174,fort bragg,35.139,-79.006,31.08,65,20,4.12,US,1691711408
175,fortuna,40.5982,-124.1573,22.18,77,40,6.17,US,1691711140
176,sao raimundo das mangabeiras,-7.0219,-45.4811,26.43,38,5,1.98,BR,1691711409
177,petropavlovsk-kamchatsky,53.0452,158.6483,16.33,63,20,1.0,RU,1691711136
178,ko pha ngan,9.7578,100.0291,25.38,76,70,6.63,TH,1691711409
179,poso,-1.3959,120.7524,27.09,77,100,1.14,ID,1691711409
180,alofi,-19.0595,-169.9187,27.94,78,40,3.6,NU,1691711409
181,amga,60.8953,131.9608,20.21,74,7,2.05,RU,1691711410
182,vadso,70.0744,29.7487,20.09,73,100,6.17,NO,1691711410
183,jiagedaqi,50.4167,124.1167,19.09,81,68,0.68,CN,1691711410
184,pechora,65.1472,57.2244,10.84,82,9,2.49,RU,1691711410
185,nar'yan-mar,67.6713,53.087,10.1,82,17,1.32,RU,1691711164
186,xinqing,48.2333,129.5,18.35,88,75,2.29,CN,1691711411
187,ahmadpur east,29.1431,71.2598,31.49,55,79,8.18,PK,1691711411
188,ibshaway,29.358,30.6814,24.93,66,0,5.42,EG,1691711411
189,inarajan village,13.2736,144.7484,28.0,87,100,9.81,GU,1691711411
190,san pedro pochutla,15.7333,-96.4667,30.95,75,68,1.97,MX,1691711411
191,buka,40.8108,69.1986,22.73,35,0,1.7,UZ,1691711411
192,villa de arista,22.65,-100.8333,24.02,48,86,5.95,MX,1691711411
193,santa vitoria do palmar,-33.5189,-53.3681,16.36,94,100,2.41,BR,1691711412
194,la punta,-33.1837,-66.3127,13.01,51,4,5.91,AR,1691711412
195,togur,58.3631,82.8265,11.21,95,99,2.75,RU,1691711412
196,isla del bosque,22.7333,-105.85,30.56,67,98,3.15,MX,1691711412
197,kuraymah,18.55,31.85,33.77,36,68,4.86,SD,1691711412
198,uturoa,-16.7333,-151.4333,25.05,69,86,8.22,PF,1691711412
199,bac kan,22.1333,105.8333,25.34,99,94,0.33,VN,1691711413
200,klyuchi,52.2667,79.1667,15.33,90,98,5.51,RU,1691711413
201,port elizabeth,-33.918,25.5701,20.05,82,0,3.09,ZA,1691711119
202,polyarnyy,69.1989,33.4478,15.95,84,0,4.6,RU,1691711413
203,viamao,-30.0811,-51.0233,21.14,91,0,3.6,BR,1691711413
204,igarka,67.4667,86.5833,10.53,92,100,6.27,RU,1691711414
205,kachkanar,58.7,59.4948,9.25,90,58,1.81,RU,1691711414
206,hulan,45.9833,126.6,22.06,88,88,6.66,CN,1691711414
207,mana,5.6592,-53.7767,25.97,87,46,4.21,GF,1691711414
208,saint-pierre,-21.3393,55.4781,19.82,64,0,3.09,RE,1691711414
209,greenville,35.6127,-77.3663,29.09,79,75,3.6,US,1691711310
210,karkira,36.9292,6.5856,26.96,36,1,2.01,DZ,1691711415
211,bathurst,-33.4166,149.5806,9.88,60,0,2.81,AU,1691711415
212,remire-montjoly,4.9167,-52.2667,26.02,89,40,0.0,GF,1691711415
213,whitehorse,60.7161,-135.0538,15.17,82,75,1.79,CA,1691711415
214,taltal,-25.4,-70.4833,18.01,63,49,2.28,CL,1691711230
215,hobyo,5.3505,48.5268,24.38,85,66,10.78,SO,1691711415
216,tura,25.5198,90.2201,23.72,99,100,2.41,IN,1691711152
217,wailua homesteads,22.0669,-159.378,30.44,69,0,7.2,US,1691711416
218,flying fish cove,-10.4217,105.6791,23.82,88,100,4.63,CX,1691711416
219,hashtrud,37.4779,47.0508,20.98,37,0,1.5,IR,1691711416
220,pudasjarvi,65.3833,26.9167,12.84,84,37,2.53,FI,1691711416
221,mount pleasant,32.7941,-79.8626,32.77,62,0,3.6,US,1691711399
222,plesetsk,62.708,40.2916,18.39,89,75,0.98,RU,1691711417
223,nago,26.5881,127.9761,28.47,76,93,1.01,JP,1691711417
224,walvis bay,-22.9575,14.5053,13.53,94,79,3.6,NA,1691711417
225,michigan city,41.7075,-86.895,27.29,88,40,0.0,US,1691711207
226,talnakh,69.4865,88.3972,9.56,63,99,7.83,RU,1691711418
227,callao,-12.0667,-77.15,21.16,73,100,3.6,PE,1691711418
228,puerto baquerizo moreno,-0.9,-89.6,23.91,82,86,5.63,EC,1691711418
229,aras-asan,8.8908,126.3033,27.24,79,98,2.73,PH,1691711418
230,fort st. john,56.2499,-120.8529,17.94,77,75,1.03,CA,1691711323
231,medicine hat,50.0501,-110.6683,24.55,46,75,5.66,CA,1691711225
232,waddan,29.1614,16.139,24.58,66,0,4.94,LY,1691711419
233,evergreen,39.6333,-105.3172,27.44,34,83,0.45,US,1691711419
234,esikhaleni,-28.871,31.8996,15.26,86,0,4.17,ZA,1691711419
235,kahramanmaras,38.0,37.0,19.13,48,0,0.65,TR,1691711420
236,deir ez-zor,35.3359,40.1408,31.92,40,0,7.24,SY,1691711420
237,blackfoot,43.1905,-112.345,31.45,15,30,9.29,US,1691711420
238,norman gardens,-23.3224,150.5393,19.29,68,0,1.03,AU,1691711420
239,atafu village,-8.5421,-172.5159,28.15,74,39,4.74,TK,1691711420
240,chonchi,-42.6128,-73.8092,6.56,90,83,1.82,CL,1691711421
241,chibougamau,49.9168,-74.3659,18.79,59,100,2.57,CA,1691711239
242,zhytkavichy,52.2168,27.8561,14.07,75,99,1.09,BY,1691711421
243,san antonio de pale,-1.4014,5.6325,23.42,87,71,4.21,GQ,1691711421
244,mersa matruh,31.3525,27.2453,26.11,69,0,2.57,EG,1691711421
245,yur'yevets,57.3201,43.1041,17.92,92,17,0.69,RU,1691711422
246,pinotepa nacional,16.3167,-98.0167,29.34,67,90,2.36,MX,1691711422
247,paka,4.6374,103.4368,24.99,94,20,0.0,MY,1691711422
248,chernyshevskiy,63.0128,112.4714,18.71,72,100,2.82,RU,1691711422
249,anadyr,64.75,177.4833,10.56,66,100,4.0,RU,1691711142
250,terbanggi besar,-4.8667,105.2333,23.28,90,45,2.08,ID,1691711422
